,지역명,연도,월,분양가격(㎡)
0,서울,2015,10,5841
5,인천,2015,10,3163
10,경기,2015,10,3138
15,부산,2015,10,3112
20,대구,2015,10,2682
25,광주,2015,10,2420
30,대전,2015,10,2454
35,울산,2015,10,3053
40,세종,2015,10,2642
45,강원,2015,10,2167
50,충북,2015,10,2032
55,충남,2015,10,2099
60,전북,2015,10,2054
65,전남,2015,10,1925
70,경북,2015,10,2148
75,경남,2015,10,2291
80,제주,2015,10,2232
85,서울,2015,11,6050
90,인천,2015,11,3184
95,경기,2015,11,3098
100,부산,2015,11,3131
105,대구,2015,11,2749
110,광주,2015,11,2424
115,대전,2015,11,2454
120,울산,2015,11,3043
125,세종,2015,11,2648
130,강원,2015,11,2171
135,충북,2015,11,2004
140,충남,2015,11,2100
145,전북,2015,11,2057
150,전남,2015,11,1909
155,경북,2015,11,2190
160,경남,2015,11,2298
165,제주,2015,11,2232
170,서울,2015,12,6041
175,인천,2015,12,3184
180,경기,2015,12,3198
185,부산,2015,12,3127
190,대구,2015,12,2962
195,광주,2015,12,2476
200,대전,2015,12,2454
205,울산,2015,12,3043
210,세종,2015,12,2665
215,강원,2015,12,2171
220,충북,2015,12,2005
225,충남,2015,12,2269
230,전북,2015,12,1983
235,전남,2015,12,1909
240,경북,2015,12,2181
245,경남,2015,12,2307
250,제주,2015,12,2268
255,서울,2016,1,6108
260,인천,2016,1,3191
265,경기,2016,1,3198
270,부산,2016,1,3152
275,대구,2016,1,3086
280,광주,2016,1,2569
285,대전,2016,1,2454
290,울산,2016,1,3046
295,세종,2016,1,2665
300,강원,2016,1,2173
305,충북,2016,1,2008
310,충남,2016,1,2270
315,전북,2016,1,1980
320,전남,2016,1,1909
325,경북,2016,1,2181
330,경남,2016,1,2327
335,제주,2016,1,2268
340,서울,2016,2,6111
345,인천,2016,2,3192
350,경기,2016,2,3219
355,부산,2016,2,3154
360,대구,2016,2,3064
365,광주,2016,2,2569
370,대전,2016,2,2454
375,울산,2016,2,3046
380,세종,2016,2,2665
385,강원,2016,2,2173
390,충북,2016,2,2008
395,충남,2016,2,2272
400,전북,2016,2,1980
405,전남,2016,2,1923
410,경북,2016,2,2179
415,경남,2016,2,2358
420,제주,2016,2,2268
425,서울,2016,3,6173
430,인천,2016,3,3190
435,경기,2016,3,3215
440,부산,2016,3,3178
445,대구,2016,3,3119
450,광주,2016,3,2590
455,대전,2016,3,2454
460,울산,2016,3,3066
465,세종,2016,3,2670
470,강원,2016,3,2194
475,충북,2016,3,1980
480,충남,2016,3,2115
485,전북,2016,3,1951
490,전남,2016,3,1921
495,경북,2016,3,2179
500,경남,2016,3,2383
505,제주,2016,3,2314
510,서울,2016,4,6241
515,인천,2016,4,3238
520,경기,2016,4,3199
525,부산,2016,4,3169
530,대구,2016,4,3132
535,광주,2016,4,2700
540,대전,2016,4,2449
545,울산,2016,4,3072
550,세종,2016,4,2680
555,강원,2016,4,2140
560,충북,2016,4,1968
565,충남,2016,4,2169
570,전북,2016,4,1909
575,전남,2016,4,1925
580,경북,2016,4,2177
585,경남,2016,4,2391
590,제주,2016,4,2719
595,서울,2016,5,6264
600,인천,2016,5,3179
605,경기,2016,5,3443
610,부산,2016,5,3148
615,대구,2016,5,3132
620,광주,2016,5,2722
625,대전,2016,5,2465
630,울산,2016,5,3077
635,세종,2016,5,2680
640,강원,2016,5,2117
645,충북,2016,5,1980
650,충남,2016,5,2166
655,전북,2016,5,1945
660,전남,2016,5,1927
665,경북,2016,5,2176
670,경남,2016,5,2381
675,제주,2016,5,2691
680,서울,2016,6,6208
685,인천,2016,6,3204
690,경기,2016,6,3542
695,부산,2016,6,3150
700,대구,2016,6,3134
705,광주,2016,6,2737
710,대전,2016,6,2562
715,울산,2016,6,3069
720,세종,2016,6,2683
725,강원,2016,6,2104
730,충북,2016,6,2047
735,충남,2016,6,2198
740,전북,2016,6,1931
745,전남,2016,6,1968
750,경북,2016,6,2238
755,경남,2016,6,2389
760,제주,2016,6,2827
765,서울,2016,7,6254
770,인천,2016,7,3222
775,경기,2016,7,3531
780,부산,2016,7,3158
785,대구,2016,7,3130
790,광주,2016,7,2742
795,대전,2016,7,2562
800,울산,2016,7,3069
805,세종,2016,7,2687
810,강원,2016,7,2101
815,충북,2016,7,2075
820,충남,2016,7,2198
825,전북,2016,7,1929
830,전남,2016,7,1968
835,경북,2016,7,2248
840,경남,2016,7,2375
845,제주,2016,7,2827
850,서울,2016,8,6285
855,인천,2016,8,3235
860,경기,2016,8,3561
865,부산,2016,8,3185
870,대구,2016,8,3147
875,광주,2016,8,2726
880,대전,2016,8,2562
885,울산,2016,8,2976
890,세종,2016,8,2694
895,강원,2016,8,2098
900,충북,2016,8,2124
905,충남,2016,8,2235
910,전북,2016,8,1929
915,전남,2016,8,1966
920,경북,2016,8,2238
925,경남,2016,8,2384
930,제주,2016,8,2878
935,서울,2016,9,6283
940,인천,2016,9,3168
945,경기,2016,9,3360
950,부산,2016,9,3200
955,대구,2016,9,3147
960,광주,2016,9,2721
965,대전,2016,9,2517
970,울산,2016,9,2976
975,세종,2016,9,2689
980,강원,2016,9,2100
985,충북,2016,9,2125
990,충남,2016,9,2236
995,전북,2016,9,1925
1000,전남,2016,9,1972
1005,경북,2016,9,2251
1010,경남,2016,9,2391
1015,제주,2016,9,3083
1020,서울,2016,10,6400
1025,인천,2016,10,3198
1030,경기,2016,10,3431
1035,부산,2016,10,3097
1040,대구,2016,10,3147
1045,광주,2016,10,2725
1050,대전,2016,10,3066
1055,울산,2016,10,3205
1060,세종,2016,10,2700
1065,강원,2016,10,2137
1070,충북,2016,10,2098
1075,충남,2016,10,2247
1080,전북,2016,10,1927
1085,전남,2016,10,1982
1090,경북,2016,10,2294
1095,경남,2016,10,2412
1100,제주,2016,10,3083
1105,서울,2016,11,6370
1110,인천,2016,11,3151
1115,경기,2016,11,3546
1120,부산,2016,11,3083
1125,대구,2016,11,3109
1130,광주,2016,11,2775
1135,대전,2016,11,2685
